time_step,mean_nRMSE,publication_net
90,1.1928946,Conv;34;10;relu
91,1.2001573,Conv;34;10;relu
92,1.2099848,Conv;34;10;relu
93,1.221355,Conv;34;10;relu
94,1.232753,Conv;34;10;relu
95,1.2433696,Conv;34;10;relu
96,1.252278,Conv;34;10;relu
97,1.2588575,Conv;34;10;relu
98,1.2632121,Conv;34;10;relu
99,1.2660173,Conv;34;10;relu
100,1.2680861,Conv;34;10;relu
101,1.2699564,Conv;34;10;relu
102,1.2713355,Conv;34;10;relu
103,1.2721249,Conv;34;10;relu
104,1.2732698,Conv;34;10;relu
105,1.276415,Conv;34;10;relu
106,1.2827003,Conv;34;10;relu
107,1.2924513,Conv;34;10;relu
108,1.3042911,Conv;34;10;relu
109,1.3160579,Conv;34;10;relu
110,1.3267947,Conv;34;10;relu
111,1.3355423,Conv;34;10;relu
112,1.3421017,Conv;34;10;relu
113,1.3462852,Conv;34;10;relu
114,1.3482643,Conv;34;10;relu
115,1.3493464,Conv;34;10;relu
116,1.3519714,Conv;34;10;relu
117,1.3570312,Conv;34;10;relu
118,1.3635737,Conv;34;10;relu
119,1.3702599,Conv;34;10;relu
120,1.37692,Conv;34;10;relu
121,1.3837271,Conv;34;10;relu
122,1.3907545,Conv;34;10;relu
123,1.3974252,Conv;34;10;relu
124,1.4029632,Conv;34;10;relu
125,1.4069266,Conv;34;10;relu
126,1.409131,Conv;34;10;relu
127,1.4089363,Conv;34;10;relu
128,1.4063331,Conv;34;10;relu
129,1.4021194,Conv;34;10;relu
130,1.3970444,Conv;34;10;relu
131,1.3911533,Conv;34;10;relu
132,1.3848442,Conv;34;10;relu
133,1.3794758,Conv;34;10;relu
134,1.3766891,Conv;34;10;relu
135,1.3766067,Conv;34;10;relu
